category;text;request_json;response_json
classifier;Найди минимальное, максимальное, среднее и медианное значения;;"{""category"":""spreadsheet-analysis"",""confidence"":0.978,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
classifier;Посчитай среднюю зарплату;;"{""category"":""spreadsheet-analysis"",""confidence"":0.968,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
classifier;Найди 10 городов с самым большим населением в списке;;"{""category"":""spreadsheet-search"",""confidence"":0.965,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
classifier;"Сгенерируй набор данных с колонками ""Имя"", ""Фамилия"", ""Пол"", ""Дата рождения"", ""Город"" заданной размерности";;"{""category"":""spreadsheet-generation"",""confidence"":0.983,""required_table_info"":{""needs_column_headers"":false,""needs_header_styles"":false,""needs_cell_values"":false,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
classifier;Примени чередующиеся цвета строк для улучшения читаемости;;"{""category"":""spreadsheet-formatting"",""confidence"":0.95,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":true,""needs_cell_values"":false,""needs_cell_styles"":true,""needs_column_metadata"":false}}"
classifier;"Объедини поля ""Имя"" и ""Фамилия"" в одно поле ""Полное имя""";;"{""category"":""spreadsheet-transformation"",""confidence"":0.921,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":true}}"
classifier;Создай столбчатую диаграмму по данным о доходах;;"{""category"":""data-chart"",""confidence"":0.974,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
classifier;Построй график изменения цен за год;;"{""category"":""data-chart"",""confidence"":0.949,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
classifier;Построй гистограмму распределения величины;;"{""category"":""data-histogram"",""confidence"":0.987,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":true}}"
classifier;Как использовать функцию ВПР для поиска данных в таблице?;;"{""category"":""spreadsheet-assistance"",""confidence"":0.95,""required_table_info"":{""needs_column_headers"":false,""needs_header_styles"":false,""needs_cell_values"":false,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
classifier;Нарисуй зимний пейзаж;;"{""category"":""uncertain"",""confidence"":1.0,""required_table_info"":{""needs_column_headers"":false,""needs_header_styles"":false,""needs_cell_values"":false,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
data-chart;Построй график изменения величины во времени.;"{""data_range"":""A1:B16"",""chart_data"":[{""name"":""Дата"",""range"":""A2:A16"",""format"":""dd/mm/yyyy""},{""name"":""Цена"",""range"":""B2:B16"",""format"":""# ##0.00""}]}";"{""chart_type"":""lineNormal"",""title"":""Изменение цены во времени"",""subtitle"":null,""series_config"":{""x_axis_column"":0,""y_axis_columns"":[1],""series_names"":[""Цена""],""show_data_labels"":false,""smooth_lines"":true},""position"":{""x"":400,""y"":50,""width"":600,""height"":400,""anchor_cell"":""D2""},""styling"":{""color_scheme"":""office"",""font_family"":""Arial"",""font_size"":12,""background_color"":null,""border_style"":""none"",""legend_position"":""bottom""}}"
